datetime,demand_mwh
10/15/2021 22H,53913
10/15/2021 21H,55164
10/15/2021 20H,55472
10/15/2021 19H,54462
10/15/2021 18H,52586
10/15/2021 17H,50647
10/15/2021 16H,48522
10/15/2021 15H,46388
10/15/2021 14H,44465
10/15/2021 13H,43601
10/15/2021 12H,41944
10/15/2021 11H,39233
10/15/2021 10H,37812
10/15/2021 09H,37487
10/15/2021 08H,38025
10/15/2021 07H,39105
10/15/2021 06H,40775
10/15/2021 05H,43216
10/15/2021 04H,46182
10/15/2021 03H,48980
10/15/2021 02H,51072
10/15/2021 01H,52537
10/15/2021 00H,53026
10/14/2021 23H,54215
10/14/2021 22H,53773
10/14/2021 21H,52472
10/14/2021 20H,50940
10/14/2021 19H,49686
10/14/2021 18H,48207
10/14/2021 17H,46846
10/14/2021 16H,45797
10/14/2021 15H,44676
10/14/2021 14H,43836
10/14/2021 13H,43361
10/14/2021 12H,41715
10/14/2021 11H,39104
10/14/2021 10H,37611
10/14/2021 09H,37428
10/14/2021 08H,38089
10/14/2021 07H,39193
10/14/2021 06H,40949
10/14/2021 05H,43472
10/14/2021 04H,46430
10/14/2021 03H,49494
10/14/2021 02H,52095
10/14/2021 01H,53958
10/14/2021 00H,54911
10/13/2021 23H,56608
10/13/2021 22H,57693
10/13/2021 21H,58076
10/13/2021 20H,58118
10/13/2021 19H,57080
10/13/2021 18H,55225
10/13/2021 17H,53108
10/13/2021 16H,51135
10/13/2021 15H,48931
10/13/2021 14H,47166
10/13/2021 13H,46661
10/13/2021 12H,45664
10/13/2021 11H,43466
10/13/2021 10H,42346
10/13/2021 09H,42292
10/13/2021 08H,42845
10/13/2021 07H,43993
10/13/2021 06H,45716
10/13/2021 05H,48117
10/13/2021 04H,51141
10/13/2021 03H,54001
10/13/2021 02H,55780
10/13/2021 01H,56825
10/13/2021 00H,57034
10/12/2021 23H,58251
10/12/2021 22H,58749
10/12/2021 21H,58051
10/12/2021 20H,56692
10/12/2021 19H,55072
10/12/2021 18H,52877
10/12/2021 17H,50946
10/12/2021 16H,48810
10/12/2021 15H,47017
10/12/2021 14H,44845
10/12/2021 13H,43943
10/12/2021 12H,42465
10/12/2021 11H,39683
10/12/2021 10H,37794
10/12/2021 09H,37242
10/12/2021 08H,37508
10/12/2021 07H,38402
10/12/2021 06H,39837
10/12/2021 05H,42219
10/12/2021 04H,45390
10/12/2021 03H,48642
10/12/2021 02H,50918
10/12/2021 01H,52387
10/12/2021 00H,53864
10/11/2021 23H,55909
10/11/2021 22H,56087
10/11/2021 21H,54598
10/11/2021 20H,52395
10/11/2021 19H,49915
10/11/2021 18H,47595
10/11/2021 17H,45961
10/11/2021 16H,44262
10/11/2021 15H,42353
10/11/2021 14H,40696
10/11/2021 13H,39989
10/11/2021 12H,39129
10/11/2021 11H,37846
10/11/2021 10H,37587
10/11/2021 09H,38053
10/11/2021 08H,38912
10/11/2021 07H,40715
10/11/2021 06H,43509
10/11/2021 05H,46893
10/11/2021 04H,50325
10/11/2021 03H,54648
10/11/2021 02H,57299
10/11/2021 01H,58509
10/11/2021 00H,59149
10/10/2021 23H,60506
10/10/2021 22H,60608
10/10/2021 21H,59755
10/10/2021 20H,58032
10/10/2021 19H,55616
10/10/2021 18H,53006
10/10/2021 17H,50360
10/10/2021 16H,47355
10/10/2021 15H,44366
10/10/2021 14H,41235
10/10/2021 13H,39417
10/10/2021 12H,38567
10/10/2021 11H,37823
10/10/2021 10H,37635
10/10/2021 09H,38058
10/10/2021 08H,38884
10/10/2021 07H,40176
10/10/2021 06H,42112
10/10/2021 05H,44552
10/10/2021 04H,47042
10/10/2021 03H,49570
10/10/2021 02H,52027
10/10/2021 01H,54147
10/10/2021 00H,56598
10/9/2021 23H,59095
10/9/2021 22H,59761
10/9/2021 21H,58915
10/9/2021 20H,56896
10/9/2021 19H,54389
10/9/2021 18H,51490
10/9/2021 17H,48487
10/9/2021 16H,45452
10/9/2021 15H,42232
10/9/2021 14H,39341
10/9/2021 13H,37772
10/9/2021 12H,37175
10/9/2021 11H,36653
10/9/2021 10H,36612
10/9/2021 09H,37249
10/9/2021 08H,38353
10/9/2021 07H,39930
10/9/2021 06H,42125
10/9/2021 05H,44917
10/9/2021 04H,47854
10/9/2021 03H,50638
10/9/2021 02H,53183
10/9/2021 01H,55436
10/9/2021 00H,58132
10/8/2021 23H,61288
10/8/2021 22H,62354
10/8/2021 21H,61615
10/8/2021 20H,59635
10/8/2021 19H,56900
10/8/2021 18H,53742
10/8/2021 17H,50727
10/8/2021 16H,47510
10/8/2021 15H,44465
10/8/2021 14H,41950
10/8/2021 13H,40742
10/8/2021 12H,39744
10/8/2021 11H,37715
10/8/2021 10H,36710
10/8/2021 09H,36780
10/8/2021 08H,37653
10/8/2021 07H,39009
10/8/2021 06H,41049
10/8/2021 05H,43979
10/8/2021 04H,47495
10/8/2021 03H,50934
10/8/2021 02H,53745
10/8/2021 01H,55798
10/8/2021 00H,57882
10/7/2021 23H,60546
