datetime,coal_mwh
10/14/2021 05H,8175
10/14/2021 04H,8663
10/14/2021 03H,8693
10/14/2021 02H,9244
10/14/2021 01H,9060
10/14/2021 00H,8489
10/13/2021 23H,9093
10/13/2021 22H,9837
10/13/2021 21H,9832
10/13/2021 20H,9617
10/13/2021 19H,9601
10/13/2021 18H,9647
10/13/2021 17H,9298
10/13/2021 16H,9233
10/13/2021 15H,8682
10/13/2021 14H,8383
10/13/2021 13H,8069
10/13/2021 12H,7352
10/13/2021 11H,7019
10/13/2021 10H,6980
10/13/2021 09H,6997
10/13/2021 08H,7309
10/13/2021 07H,7565
10/13/2021 06H,7995
10/13/2021 05H,8222
10/13/2021 04H,8955
10/13/2021 03H,9530
10/13/2021 02H,9451
10/13/2021 01H,9427
10/13/2021 00H,9293
10/12/2021 23H,9062
10/12/2021 22H,9000
10/12/2021 21H,8632
10/12/2021 20H,7954
10/12/2021 19H,7550
10/12/2021 18H,7554
10/12/2021 17H,7826
10/12/2021 16H,7902
10/12/2021 15H,8693
10/12/2021 14H,8833
10/12/2021 13H,8550
10/12/2021 12H,7887
10/12/2021 11H,7017
10/12/2021 10H,6539
10/12/2021 09H,6393
10/12/2021 08H,6684
10/12/2021 07H,7070
10/12/2021 06H,7194
10/12/2021 05H,7529
10/12/2021 04H,7611
10/12/2021 03H,7607
10/12/2021 02H,7636
10/12/2021 01H,8649
10/12/2021 00H,8366
10/11/2021 23H,8968
10/11/2021 22H,9151
10/11/2021 21H,9175
10/11/2021 20H,9134
10/11/2021 19H,8997
10/11/2021 18H,9118
10/11/2021 17H,8919
10/11/2021 16H,8723
10/11/2021 15H,7819
10/11/2021 14H,8623
10/11/2021 13H,8749
10/11/2021 12H,7669
10/11/2021 11H,7454
10/11/2021 10H,8026
10/11/2021 09H,7510
10/11/2021 08H,7004
10/11/2021 07H,7031
10/11/2021 06H,7340
10/11/2021 05H,7477
10/11/2021 04H,7518
10/11/2021 03H,8188
10/11/2021 02H,8960
10/11/2021 01H,8884
10/11/2021 00H,8869
10/10/2021 23H,9068
10/10/2021 22H,9003
10/10/2021 21H,8306
10/10/2021 20H,7308
10/10/2021 19H,7089
10/10/2021 18H,7080
10/10/2021 17H,7063
10/10/2021 16H,7043
10/10/2021 15H,6967
10/10/2021 14H,6922
10/10/2021 13H,6895
10/10/2021 12H,6373
10/10/2021 11H,6125
10/10/2021 10H,6198
10/10/2021 09H,6492
10/10/2021 08H,6869
10/10/2021 07H,7130
10/10/2021 06H,7539
10/10/2021 05H,7988
10/10/2021 04H,7502
10/10/2021 03H,7481
10/10/2021 02H,7482
10/10/2021 01H,7632
10/10/2021 00H,7655
10/9/2021 23H,8585
10/9/2021 22H,9018
10/9/2021 21H,8768
10/9/2021 20H,7842
10/9/2021 19H,7225
10/9/2021 18H,7242
10/9/2021 17H,7238
10/9/2021 16H,7272
10/9/2021 15H,7221
10/9/2021 14H,7024
10/9/2021 13H,6980
10/9/2021 12H,6697
10/9/2021 11H,6549
10/9/2021 10H,6536
10/9/2021 09H,6652
10/9/2021 08H,6806
10/9/2021 07H,6792
10/9/2021 06H,7138
10/9/2021 05H,7409
10/9/2021 04H,7324
10/9/2021 03H,7311
10/9/2021 02H,7378
10/9/2021 01H,8177
10/9/2021 00H,8907
10/8/2021 23H,9363
10/8/2021 22H,9448
10/8/2021 21H,9453
10/8/2021 20H,9370
10/8/2021 19H,8609
10/8/2021 18H,7941
10/8/2021 17H,7718
10/8/2021 16H,7451
10/8/2021 15H,7366
10/8/2021 14H,7397
10/8/2021 13H,7463
10/8/2021 12H,7330
10/8/2021 11H,6956
10/8/2021 10H,6792
10/8/2021 09H,6702
10/8/2021 08H,6751
10/8/2021 07H,7281
10/8/2021 06H,7745
10/8/2021 05H,8224
10/8/2021 04H,8537
10/8/2021 03H,8577
10/8/2021 02H,9168
10/8/2021 01H,10064
10/8/2021 00H,10135
10/7/2021 23H,10268
10/7/2021 22H,10162
10/7/2021 21H,9982
10/7/2021 20H,9922
10/7/2021 19H,9981
10/7/2021 18H,9496
10/7/2021 17H,9114
10/7/2021 16H,9011
10/7/2021 15H,8792
10/7/2021 14H,8463
10/7/2021 13H,8401
10/7/2021 12H,7759
10/7/2021 11H,7330
10/7/2021 10H,7140
10/7/2021 09H,7025
10/7/2021 08H,7064
10/7/2021 07H,7287
10/7/2021 06H,7717
10/7/2021 05H,8213
10/7/2021 04H,8477
10/7/2021 03H,8640
10/7/2021 02H,9215
10/7/2021 01H,10150
10/7/2021 00H,10416
10/6/2021 23H,10522
10/6/2021 22H,10512
10/6/2021 21H,10502
10/6/2021 20H,10515
10/6/2021 19H,10563
10/6/2021 18H,10230
10/6/2021 17H,9162
10/6/2021 16H,8957
10/6/2021 15H,8865
10/6/2021 14H,9044
10/6/2021 13H,9116
10/6/2021 12H,8642
10/6/2021 11H,8173
10/6/2021 10H,7789
10/6/2021 09H,7578
10/6/2021 08H,7498
10/6/2021 07H,7665
10/6/2021 06H,8152
10/6/2021 05H,8706
10/6/2021 04H,8851
10/6/2021 03H,9146
10/6/2021 02H,9555
10/6/2021 01H,10548
10/6/2021 00H,10812
10/5/2021 23H,10977
10/5/2021 22H,10959
10/5/2021 21H,10935
10/5/2021 20H,11055
10/5/2021 19H,11020
10/5/2021 18H,10425
10/5/2021 17H,10089
10/5/2021 16H,9928
10/5/2021 15H,9900
10/5/2021 14H,9904
10/5/2021 13H,9816
10/5/2021 12H,8789
10/5/2021 11H,8084
10/5/2021 10H,8017
10/5/2021 09H,8067
10/5/2021 08H,8145
10/5/2021 07H,7915
10/5/2021 06H,8175
10/5/2021 05H,9341
10/5/2021 04H,9755
10/5/2021 03H,10910
10/5/2021 02H,10992
10/5/2021 01H,10796
10/5/2021 00H,10651
10/4/2021 23H,11010
10/4/2021 22H,10843
10/4/2021 21H,11019
10/4/2021 20H,10904
10/4/2021 19H,10893
10/4/2021 18H,10883
10/4/2021 17H,10856
10/4/2021 16H,10128
10/4/2021 15H,9163
10/4/2021 14H,10427
10/4/2021 13H,10746
10/4/2021 12H,10175
10/4/2021 11H,8871
10/4/2021 10H,8702
10/4/2021 09H,8670
10/4/2021 08H,8675
10/4/2021 07H,9224
10/4/2021 06H,9892
10/4/2021 05H,10480
10/4/2021 04H,10497
10/4/2021 03H,10633
10/4/2021 02H,10851
10/4/2021 01H,10873
10/4/2021 00H,10892
10/3/2021 23H,10910
10/3/2021 22H,10936
10/3/2021 21H,10946
10/3/2021 20H,10868
10/3/2021 19H,10977
10/3/2021 18H,10819
10/3/2021 17H,10392
10/3/2021 16H,10044
10/3/2021 15H,9725
10/3/2021 14H,9462
10/3/2021 13H,9831
10/3/2021 12H,9924
10/3/2021 11H,10088
10/3/2021 10H,10142
10/3/2021 09H,10180
10/3/2021 08H,10201
10/3/2021 07H,10195
10/3/2021 06H,10186
10/3/2021 05H,10234
10/3/2021 04H,10228
10/3/2021 03H,10100
10/3/2021 02H,10183
10/3/2021 01H,10243
10/3/2021 00H,10281
10/2/2021 23H,10286
10/2/2021 22H,10239
10/2/2021 21H,10284
10/2/2021 20H,10195
10/2/2021 19H,10200
10/2/2021 18H,10239
10/2/2021 17H,10215
10/2/2021 16H,10224
10/2/2021 15H,10160
10/2/2021 14H,10157
10/2/2021 13H,10153
10/2/2021 12H,9959
10/2/2021 11H,9880
10/2/2021 10H,9967
10/2/2021 09H,9830
10/2/2021 08H,9470
10/2/2021 07H,10262
10/2/2021 06H,10771
10/2/2021 05H,11040
10/2/2021 04H,10966
10/2/2021 03H,10954
10/2/2021 02H,10819
10/2/2021 01H,10599
10/2/2021 00H,10477
10/1/2021 23H,10254
10/1/2021 22H,10248
10/1/2021 21H,10227
10/1/2021 20H,10179
10/1/2021 19H,10209
10/1/2021 18H,9865
10/1/2021 17H,9999
10/1/2021 16H,10959
10/1/2021 15H,10894
10/1/2021 14H,10935
10/1/2021 13H,11008
10/1/2021 12H,10617
10/1/2021 11H,9854
10/1/2021 10H,9906
10/1/2021 09H,9980
10/1/2021 08H,9980
10/1/2021 07H,9933
10/1/2021 06H,9749
10/1/2021 05H,10172
10/1/2021 04H,10433
10/1/2021 03H,9935
10/1/2021 02H,10076
10/1/2021 01H,10107
10/1/2021 00H,10407
09/30/2021 23H,11039
09/30/2021 22H,11067
09/30/2021 21H,10744
09/30/2021 20H,10573
09/30/2021 19H,10338
09/30/2021 18H,10262
09/30/2021 17H,10205
09/30/2021 16H,10750
09/30/2021 15H,10469
09/30/2021 14H,9567
09/30/2021 13H,9589
09/30/2021 12H,9103
09/30/2021 11H,8450
09/30/2021 10H,7838
09/30/2021 09H,7777
09/30/2021 08H,7712
09/30/2021 07H,7818
09/30/2021 06H,8225
