datetime,hydro_mwh
10/14/2021 05H,24
10/14/2021 04H,54
10/14/2021 03H,55
10/14/2021 02H,36
10/14/2021 01H,27
10/14/2021 00H,57
10/13/2021 23H,31
10/13/2021 22H,32
10/13/2021 21H,32
10/13/2021 20H,41
10/13/2021 19H,40
10/13/2021 18H,32
10/13/2021 17H,33
10/13/2021 16H,48
10/13/2021 15H,31
10/13/2021 14H,35
10/13/2021 13H,26
10/13/2021 12H,25
10/13/2021 11H,25
10/13/2021 10H,24
10/13/2021 09H,24
10/13/2021 08H,25
10/13/2021 07H,49
10/13/2021 06H,22
10/13/2021 05H,6
10/13/2021 04H,6
10/13/2021 03H,6
10/13/2021 02H,6
10/13/2021 01H,9
10/13/2021 00H,30
10/12/2021 23H,42
10/12/2021 22H,37
10/12/2021 21H,32
10/12/2021 20H,36
10/12/2021 19H,43
10/12/2021 18H,31
10/12/2021 17H,48
10/12/2021 16H,30
10/12/2021 15H,72
10/12/2021 14H,107
10/12/2021 13H,7
10/12/2021 12H,6
10/12/2021 11H,6
10/12/2021 10H,6
10/12/2021 09H,6
10/12/2021 08H,5
10/12/2021 07H,30
10/12/2021 06H,6
10/12/2021 05H,6
10/12/2021 04H,6
10/12/2021 03H,6
10/12/2021 02H,6
10/12/2021 01H,7
10/12/2021 00H,32
10/11/2021 23H,32
10/11/2021 22H,32
10/11/2021 21H,33
10/11/2021 20H,33
10/11/2021 19H,33
10/11/2021 18H,33
10/11/2021 17H,33
10/11/2021 16H,33
10/11/2021 15H,41
10/11/2021 14H,66
10/11/2021 13H,42
10/11/2021 12H,6
10/11/2021 11H,6
10/11/2021 10H,6
10/11/2021 09H,6
10/11/2021 08H,6
10/11/2021 07H,31
10/11/2021 06H,7
10/11/2021 05H,6
10/11/2021 04H,6
10/11/2021 03H,6
10/11/2021 02H,6
10/11/2021 01H,4
10/11/2021 00H,4
10/10/2021 23H,4
10/10/2021 22H,4
10/10/2021 21H,4
10/10/2021 20H,4
10/10/2021 19H,9
10/10/2021 18H,29
10/10/2021 17H,29
10/10/2021 16H,37
10/10/2021 15H,71
10/10/2021 14H,67
10/10/2021 13H,39
10/10/2021 12H,4
10/10/2021 11H,5
10/10/2021 10H,5
10/10/2021 09H,5
