datetime,natural_gas_mwh
10/14/2021 05H,22878
10/14/2021 04H,25436
10/14/2021 03H,28195
10/14/2021 02H,29726
10/14/2021 01H,31002
10/14/2021 00H,30655
10/13/2021 23H,31849
10/13/2021 22H,33129
10/13/2021 21H,33389
10/13/2021 20H,32881
10/13/2021 19H,31484
10/13/2021 18H,29915
10/13/2021 17H,28082
10/13/2021 16H,26853
10/13/2021 15H,25070
10/13/2021 14H,23134
10/13/2021 13H,21534
10/13/2021 12H,18525
10/13/2021 11H,13443
10/13/2021 10H,11592
10/13/2021 09H,10665
10/13/2021 08H,10977
10/13/2021 07H,11690
10/13/2021 06H,12772
10/13/2021 05H,14777
10/13/2021 04H,16562
10/13/2021 03H,18661
10/13/2021 02H,20956
10/13/2021 01H,21881
10/13/2021 00H,22090
10/12/2021 23H,23411
10/12/2021 22H,23823
10/12/2021 21H,23403
10/12/2021 20H,23431
10/12/2021 19H,22283
10/12/2021 18H,20147
10/12/2021 17H,18384
10/12/2021 16H,16992
10/12/2021 15H,14485
10/12/2021 14H,12886
10/12/2021 13H,12217
10/12/2021 12H,11109
10/12/2021 11H,9290
10/12/2021 10H,8034
10/12/2021 09H,7829
10/12/2021 08H,7839
10/12/2021 07H,8245
10/12/2021 06H,9686
10/12/2021 05H,12209
10/12/2021 04H,15762
10/12/2021 03H,19183
10/12/2021 02H,23470
10/12/2021 01H,27612
10/12/2021 00H,29122
10/11/2021 23H,28686
10/11/2021 22H,29757
10/11/2021 21H,29344
10/11/2021 20H,28935
10/11/2021 19H,28283
10/11/2021 18H,27619
10/11/2021 17H,26864
10/11/2021 16H,26038
10/11/2021 15H,24928
10/11/2021 14H,24251
10/11/2021 13H,23908
10/11/2021 12H,22293
10/11/2021 11H,18726
10/11/2021 10H,15635
10/11/2021 09H,15029
10/11/2021 08H,13630
10/11/2021 07H,13309
10/11/2021 06H,13756
10/11/2021 05H,16041
10/11/2021 04H,18431
10/11/2021 03H,21613
10/11/2021 02H,23444
10/11/2021 01H,24429
10/11/2021 00H,24960
10/10/2021 23H,25677
10/10/2021 22H,25593
10/10/2021 21H,25453
10/10/2021 20H,24698
10/10/2021 19H,22779
10/10/2021 18H,20273
10/10/2021 17H,17605
10/10/2021 16H,14707
10/10/2021 15H,12400
10/10/2021 14H,9935
10/10/2021 13H,8671
10/10/2021 12H,8393
10/10/2021 11H,8022
10/10/2021 10H,7599
10/10/2021 09H,7542
10/10/2021 08H,7805
10/10/2021 07H,8979
10/10/2021 06H,10389
10/10/2021 05H,12189
10/10/2021 04H,14907
10/10/2021 03H,17487
10/10/2021 02H,20177
10/10/2021 01H,23880
10/10/2021 00H,24888
10/9/2021 23H,25412
10/9/2021 22H,26020
10/9/2021 21H,26187
10/9/2021 20H,25901
10/9/2021 19H,24533
10/9/2021 18H,21955
10/9/2021 17H,19001
10/9/2021 16H,16186
10/9/2021 15H,13556
10/9/2021 14H,10998
10/9/2021 13H,9653
10/9/2021 12H,9255
10/9/2021 11H,8656
10/9/2021 10H,8234
10/9/2021 09H,8488
10/9/2021 08H,9041
10/9/2021 07H,10235
10/9/2021 06H,11842
10/9/2021 05H,14368
10/9/2021 04H,17095
10/9/2021 03H,19475
10/9/2021 02H,22464
10/9/2021 01H,26857
10/9/2021 00H,28384
10/8/2021 23H,29303
10/8/2021 22H,30298
10/8/2021 21H,29829
10/8/2021 20H,29221
10/8/2021 19H,27038
10/8/2021 18H,24808
10/8/2021 17H,21773
10/8/2021 16H,18345
10/8/2021 15H,15587
10/8/2021 14H,13103
10/8/2021 13H,12251
10/8/2021 12H,11076
10/8/2021 11H,9195
10/8/2021 10H,8215
10/8/2021 09H,7997
10/8/2021 08H,8313
10/8/2021 07H,8829
10/8/2021 06H,10664
10/8/2021 05H,13132
10/8/2021 04H,16309
10/8/2021 03H,20002
10/8/2021 02H,23639
10/8/2021 01H,27932
10/8/2021 00H,29508
10/7/2021 23H,30153
10/7/2021 22H,31753
10/7/2021 21H,31391
10/7/2021 20H,29762
10/7/2021 19H,27703
10/7/2021 18H,24941
10/7/2021 17H,21546
10/7/2021 16H,18279
10/7/2021 15H,15596
10/7/2021 14H,13916
10/7/2021 13H,14018
10/7/2021 12H,12862
10/7/2021 11H,10411
10/7/2021 10H,8929
10/7/2021 09H,8131
10/7/2021 08H,8294
10/7/2021 07H,8969
10/7/2021 06H,9757
10/7/2021 05H,11621
10/7/2021 04H,15707
10/7/2021 03H,21136
10/7/2021 02H,26405
10/7/2021 01H,31541
10/7/2021 00H,34497
10/6/2021 23H,34390
10/6/2021 22H,34168
