datetime,nuclear_mwh
10/14/2021 05H,2518
10/14/2021 04H,2518
10/14/2021 03H,2517
10/14/2021 02H,2517
10/14/2021 01H,2516
10/14/2021 00H,2516
10/13/2021 23H,2515
10/13/2021 22H,2516
10/13/2021 21H,2516
10/13/2021 20H,2516
10/13/2021 19H,2516
10/13/2021 18H,2517
10/13/2021 17H,2517
10/13/2021 16H,2517
10/13/2021 15H,2517
10/13/2021 14H,2517
10/13/2021 13H,2517
10/13/2021 12H,2517
10/13/2021 11H,2517
10/13/2021 10H,2517
10/13/2021 09H,2517
10/13/2021 08H,2517
10/13/2021 07H,2517
10/13/2021 06H,2516
10/13/2021 05H,2517
10/13/2021 04H,2516
10/13/2021 03H,2515
10/13/2021 02H,2515
10/13/2021 01H,2515
10/13/2021 00H,2515
10/12/2021 23H,2515
10/12/2021 22H,2515
10/12/2021 21H,2515
10/12/2021 20H,2515
10/12/2021 19H,2515
10/12/2021 18H,2516
10/12/2021 17H,2516
10/12/2021 16H,2516
10/12/2021 15H,2834
10/12/2021 14H,2516
10/12/2021 13H,2516
10/12/2021 12H,2516
10/12/2021 11H,2516
10/12/2021 10H,2516
10/12/2021 09H,2516
10/12/2021 08H,2516
10/12/2021 07H,2516
10/12/2021 06H,2516
10/12/2021 05H,2516
10/12/2021 04H,2515
10/12/2021 03H,2515
10/12/2021 02H,2515
10/12/2021 01H,2513
10/12/2021 00H,2514
10/11/2021 23H,2514
10/11/2021 22H,2514
10/11/2021 21H,2515
10/11/2021 20H,2515
10/11/2021 19H,2514
10/11/2021 18H,2515
10/11/2021 17H,2514
10/11/2021 16H,2514
10/11/2021 15H,2514
10/11/2021 14H,2508
10/11/2021 13H,2507
10/11/2021 12H,2507
10/11/2021 11H,2507
10/11/2021 10H,2507
10/11/2021 09H,2507
10/11/2021 08H,2506
10/11/2021 07H,2506
10/11/2021 06H,2505
10/11/2021 05H,2505
10/11/2021 04H,2504
10/11/2021 03H,2504
10/11/2021 02H,2504
10/11/2021 01H,2503
10/11/2021 00H,2503
10/10/2021 23H,2503
10/10/2021 22H,2502
10/10/2021 21H,2502
10/10/2021 20H,2502
10/10/2021 19H,2502
10/10/2021 18H,2502
10/10/2021 17H,2502
10/10/2021 16H,2502
10/10/2021 15H,2502
10/10/2021 14H,2502
10/10/2021 13H,2502
10/10/2021 12H,2502
10/10/2021 11H,2502
10/10/2021 10H,2502
10/10/2021 09H,2502
10/10/2021 08H,2502
10/10/2021 07H,2502
10/10/2021 06H,2493
10/10/2021 05H,2493
10/10/2021 04H,2493
10/10/2021 03H,2493
10/10/2021 02H,2493
10/10/2021 01H,2487
10/10/2021 00H,2474
10/9/2021 23H,2474
10/9/2021 22H,2475
10/9/2021 21H,2475
10/9/2021 20H,2476
10/9/2021 19H,2476
10/9/2021 18H,2476
10/9/2021 17H,2475
10/9/2021 16H,2477
10/9/2021 15H,2482
10/9/2021 14H,2482
10/9/2021 13H,2482
10/9/2021 12H,2482
10/9/2021 11H,2481
10/9/2021 10H,2481
10/9/2021 09H,2476
10/9/2021 08H,2473
10/9/2021 07H,2466
10/9/2021 06H,2466
10/9/2021 05H,2492
10/9/2021 04H,2582
10/9/2021 03H,2939
10/9/2021 02H,3535
10/9/2021 01H,3774
10/9/2021 00H,3773
10/8/2021 23H,3774
10/8/2021 22H,3780
10/8/2021 21H,3784
