datetime,other_sources_mwh
10/14/2021 05H,96
10/14/2021 04H,144
10/14/2021 03H,88
10/14/2021 02H,110
10/14/2021 01H,132
10/14/2021 00H,201
10/13/2021 23H,133
10/13/2021 22H,178
10/13/2021 21H,191
10/13/2021 20H,159
10/13/2021 19H,130
10/13/2021 18H,110
10/13/2021 17H,105
10/13/2021 16H,99
10/13/2021 15H,109
10/13/2021 14H,109
10/13/2021 13H,93
10/13/2021 12H,134
10/13/2021 11H,118
10/13/2021 10H,85
10/13/2021 09H,83
10/13/2021 08H,93
10/13/2021 07H,92
10/13/2021 06H,108
10/13/2021 05H,158
10/13/2021 04H,155
10/13/2021 03H,149
10/13/2021 02H,148
10/13/2021 01H,138
10/13/2021 00H,142
10/12/2021 23H,140
10/12/2021 22H,155
10/12/2021 21H,194
10/12/2021 20H,211
10/12/2021 19H,150
10/12/2021 18H,156
10/12/2021 17H,164
10/12/2021 16H,181
10/12/2021 15H,136
10/12/2021 14H,95
10/12/2021 13H,104
10/12/2021 12H,119
10/12/2021 11H,104
10/12/2021 10H,104
10/12/2021 09H,91
10/12/2021 08H,94
10/12/2021 07H,84
10/12/2021 06H,161
10/12/2021 05H,132
10/12/2021 04H,114
10/12/2021 03H,124
10/12/2021 02H,141
10/12/2021 01H,157
10/12/2021 00H,211
10/11/2021 23H,164
10/11/2021 22H,187
10/11/2021 21H,185
10/11/2021 20H,173
10/11/2021 19H,170
10/11/2021 18H,164
10/11/2021 17H,151
10/11/2021 16H,160
10/11/2021 15H,162
10/11/2021 14H,159
10/11/2021 13H,128
10/11/2021 12H,107
10/11/2021 11H,116
10/11/2021 10H,84
10/11/2021 09H,94
10/11/2021 08H,115
10/11/2021 07H,122
10/11/2021 06H,135
10/11/2021 05H,100
10/11/2021 04H,113
10/11/2021 03H,108
10/11/2021 02H,112
10/11/2021 01H,81
10/11/2021 00H,98
10/10/2021 23H,106
10/10/2021 22H,93
10/10/2021 21H,103
10/10/2021 20H,114
10/10/2021 19H,88
10/10/2021 18H,88
10/10/2021 17H,96
10/10/2021 16H,130
10/10/2021 15H,101
10/10/2021 14H,111
10/10/2021 13H,95
10/10/2021 12H,93
10/10/2021 11H,99
10/10/2021 10H,104
10/10/2021 09H,108
10/10/2021 08H,99
10/10/2021 07H,98
10/10/2021 06H,123
10/10/2021 05H,102
10/10/2021 04H,121
10/10/2021 03H,152
10/10/2021 02H,160
10/10/2021 01H,147
10/10/2021 00H,185
10/9/2021 23H,157
10/9/2021 22H,154
10/9/2021 21H,143
10/9/2021 20H,144
10/9/2021 19H,137
10/9/2021 18H,144
10/9/2021 17H,146
10/9/2021 16H,120
10/9/2021 15H,103
10/9/2021 14H,124
10/9/2021 13H,109
10/9/2021 12H,112
10/9/2021 11H,107
10/9/2021 10H,119
10/9/2021 09H,101
10/9/2021 08H,99
10/9/2021 07H,95
10/9/2021 06H,112
10/9/2021 05H,117
10/9/2021 04H,114
10/9/2021 03H,144
10/9/2021 02H,145
10/9/2021 01H,176
10/9/2021 00H,204
10/8/2021 23H,212
10/8/2021 22H,173
10/8/2021 21H,188
10/8/2021 20H,195
10/8/2021 19H,221
10/8/2021 18H,162
10/8/2021 17H,140
10/8/2021 16H,152
10/8/2021 15H,134
10/8/2021 14H,103
10/8/2021 13H,103
10/8/2021 12H,108
10/8/2021 11H,96
10/8/2021 10H,87
10/8/2021 09H,95
10/8/2021 08H,94
10/8/2021 07H,93
10/8/2021 06H,98
10/8/2021 05H,105
10/8/2021 04H,113
10/8/2021 03H,117
10/8/2021 02H,172
10/8/2021 01H,149
10/8/2021 00H,200
10/7/2021 23H,165
10/7/2021 22H,197
10/7/2021 21H,193
10/7/2021 20H,160
10/7/2021 19H,156
10/7/2021 18H,148
10/7/2021 17H,140
10/7/2021 16H,115
10/7/2021 15H,116
10/7/2021 14H,98
10/7/2021 13H,95
10/7/2021 12H,105
10/7/2021 11H,95
10/7/2021 10H,84
10/7/2021 09H,83
10/7/2021 08H,87
10/7/2021 07H,93
10/7/2021 06H,98
10/7/2021 05H,122
10/7/2021 04H,134
10/7/2021 03H,140
10/7/2021 02H,157
10/7/2021 01H,148
10/7/2021 00H,163
10/6/2021 23H,168
10/6/2021 22H,153
10/6/2021 21H,209
10/6/2021 20H,165
10/6/2021 19H,157
10/6/2021 18H,145
10/6/2021 17H,151
10/6/2021 16H,142
10/6/2021 15H,119
10/6/2021 14H,105
10/6/2021 13H,99
10/6/2021 12H,111
10/6/2021 11H,100
10/6/2021 10H,92
10/6/2021 09H,94
10/6/2021 08H,96
10/6/2021 07H,108
10/6/2021 06H,126
10/6/2021 05H,132
10/6/2021 04H,140
10/6/2021 03H,148
10/6/2021 02H,145
10/6/2021 01H,152
10/6/2021 00H,166
10/5/2021 23H,153
10/5/2021 22H,182
10/5/2021 21H,153
10/5/2021 20H,168
10/5/2021 19H,154
10/5/2021 18H,161
10/5/2021 17H,180
10/5/2021 16H,166
10/5/2021 15H,140
10/5/2021 14H,117
10/5/2021 13H,103
10/5/2021 12H,108
10/5/2021 11H,105
10/5/2021 10H,92
10/5/2021 09H,96
10/5/2021 08H,112
10/5/2021 07H,117
10/5/2021 06H,138
10/5/2021 05H,143
10/5/2021 04H,178
10/5/2021 03H,164
10/5/2021 02H,167
10/5/2021 01H,180
10/5/2021 00H,213
10/4/2021 23H,194
10/4/2021 22H,198
10/4/2021 21H,185
10/4/2021 20H,170
10/4/2021 19H,171
10/4/2021 18H,169
10/4/2021 17H,139
10/4/2021 16H,139
10/4/2021 15H,157
10/4/2021 14H,147
10/4/2021 13H,147
10/4/2021 12H,145
10/4/2021 11H,143
10/4/2021 10H,141
10/4/2021 09H,143
10/4/2021 08H,137
10/4/2021 07H,139
10/4/2021 06H,145
10/4/2021 05H,141
10/4/2021 04H,143
10/4/2021 03H,148
10/4/2021 02H,147
10/4/2021 01H,153
10/4/2021 00H,170
10/3/2021 23H,160
10/3/2021 22H,152
10/3/2021 21H,140
10/3/2021 20H,153
10/3/2021 19H,141
10/3/2021 18H,149
10/3/2021 17H,145
10/3/2021 16H,150
10/3/2021 15H,151
10/3/2021 14H,142
10/3/2021 13H,142
10/3/2021 12H,135
10/3/2021 11H,134
10/3/2021 10H,134
10/3/2021 09H,134
10/3/2021 08H,138
10/3/2021 07H,136
10/3/2021 06H,158
10/3/2021 05H,152
10/3/2021 04H,139
10/3/2021 03H,136
10/3/2021 02H,145
10/3/2021 01H,156
10/3/2021 00H,179
10/2/2021 23H,149
10/2/2021 22H,141
10/2/2021 21H,157
10/2/2021 20H,128
10/2/2021 19H,107
10/2/2021 18H,91
10/2/2021 17H,93
10/2/2021 16H,99
10/2/2021 15H,94
10/2/2021 14H,88
10/2/2021 13H,93
10/2/2021 12H,78
10/2/2021 11H,90
10/2/2021 10H,76
10/2/2021 09H,80
10/2/2021 08H,95
10/2/2021 07H,79
10/2/2021 06H,90
10/2/2021 05H,135
10/2/2021 04H,135
10/2/2021 03H,138
10/2/2021 02H,126
10/2/2021 01H,157
10/2/2021 00H,216
10/1/2021 23H,169
10/1/2021 22H,141
10/1/2021 21H,161
10/1/2021 20H,143
10/1/2021 19H,145
10/1/2021 18H,138
10/1/2021 17H,160
10/1/2021 16H,109
10/1/2021 15H,104
10/1/2021 14H,80
10/1/2021 13H,82
10/1/2021 12H,95
10/1/2021 11H,81
10/1/2021 10H,92
10/1/2021 09H,113
10/1/2021 08H,116
10/1/2021 07H,120
10/1/2021 06H,155
