datetime,solar_mwh
10/14/2021 05H,0
10/14/2021 04H,0
10/14/2021 03H,0
10/14/2021 02H,0
10/14/2021 01H,24
10/14/2021 00H,1337
10/13/2021 23H,2341
10/13/2021 22H,1668
10/13/2021 21H,2239
10/13/2021 20H,2481
10/13/2021 19H,3047
10/13/2021 18H,3108
10/13/2021 17H,2752
10/13/2021 16H,2261
10/13/2021 15H,1660
10/13/2021 14H,503
10/13/2021 13H,9
10/13/2021 12H,0
10/13/2021 11H,0
10/13/2021 10H,0
10/13/2021 09H,0
10/13/2021 08H,0
10/13/2021 07H,0
10/13/2021 06H,0
10/13/2021 05H,0
10/13/2021 04H,0
10/13/2021 03H,0
10/13/2021 02H,0
10/13/2021 01H,14
10/13/2021 00H,417
10/12/2021 23H,1024
10/12/2021 22H,1339
10/12/2021 21H,1523
10/12/2021 20H,1789
10/12/2021 19H,2205
10/12/2021 18H,2285
10/12/2021 17H,2078
10/12/2021 16H,1864
10/12/2021 15H,1796
10/12/2021 14H,583
10/12/2021 13H,11
10/12/2021 12H,0
10/12/2021 11H,0
10/12/2021 10H,0
10/12/2021 09H,0
10/12/2021 08H,0
10/12/2021 07H,0
10/12/2021 06H,0
10/12/2021 05H,0
10/12/2021 04H,0
10/12/2021 03H,0
10/12/2021 02H,0
10/12/2021 01H,35
10/12/2021 00H,2212
10/11/2021 23H,5556
10/11/2021 22H,6327
10/11/2021 21H,6392
10/11/2021 20H,6403
10/11/2021 19H,6461
10/11/2021 18H,6458
10/11/2021 17H,6567
10/11/2021 16H,6541
10/11/2021 15H,5727
10/11/2021 14H,1919
10/11/2021 13H,17
10/11/2021 12H,0
10/11/2021 11H,0
10/11/2021 10H,0
10/11/2021 09H,0
10/11/2021 08H,0
10/11/2021 07H,0
10/11/2021 06H,0
10/11/2021 05H,0
10/11/2021 04H,0
10/11/2021 03H,0
10/11/2021 02H,0
10/11/2021 01H,32
10/11/2021 00H,714
10/10/2021 23H,2099
10/10/2021 22H,3116
10/10/2021 21H,3680
10/10/2021 20H,4436
10/10/2021 19H,4990
10/10/2021 18H,4613
10/10/2021 17H,4092
10/10/2021 16H,3397
10/10/2021 15H,3110
10/10/2021 14H,1182
10/10/2021 13H,9
10/10/2021 12H,0
10/10/2021 11H,0
10/10/2021 10H,0
10/10/2021 09H,0
10/10/2021 08H,0
10/10/2021 07H,0
10/10/2021 06H,0
10/10/2021 05H,0
10/10/2021 04H,0
10/10/2021 03H,0
10/10/2021 02H,0
10/10/2021 01H,47
10/10/2021 00H,2038
10/9/2021 23H,4328
10/9/2021 22H,5157
10/9/2021 21H,5147
10/9/2021 20H,5077
10/9/2021 19H,5533
10/9/2021 18H,6021
10/9/2021 17H,5697
10/9/2021 16H,4625
10/9/2021 15H,3454
10/9/2021 14H,1037
10/9/2021 13H,24
10/9/2021 12H,0
10/9/2021 11H,0
10/9/2021 10H,0
10/9/2021 09H,0
10/9/2021 08H,0
10/9/2021 07H,0
10/9/2021 06H,0
10/9/2021 05H,0
10/9/2021 04H,0
10/9/2021 03H,0
10/9/2021 02H,0
10/9/2021 01H,63
10/9/2021 00H,2002
10/8/2021 23H,4218
10/8/2021 22H,5240
10/8/2021 21H,5783
10/8/2021 20H,5123
10/8/2021 19H,5777
10/8/2021 18H,5930
10/8/2021 17H,5338
10/8/2021 16H,4501
10/8/2021 15H,4240
10/8/2021 14H,1751
10/8/2021 13H,35
10/8/2021 12H,0
10/8/2021 11H,0
10/8/2021 10H,0
10/8/2021 09H,0
10/8/2021 08H,0
10/8/2021 07H,0
10/8/2021 06H,0
10/8/2021 05H,0
10/8/2021 04H,0
10/8/2021 03H,0
10/8/2021 02H,0
10/8/2021 01H,36
10/8/2021 00H,2230
10/7/2021 23H,5151
10/7/2021 22H,5877
10/7/2021 21H,6257
10/7/2021 20H,6532
10/7/2021 19H,6605
10/7/2021 18H,6708
10/7/2021 17H,6837
10/7/2021 16H,6791
10/7/2021 15H,5787
10/7/2021 14H,2024
10/7/2021 13H,35
10/7/2021 12H,0
10/7/2021 11H,0
10/7/2021 10H,80
10/7/2021 09H,135
10/7/2021 08H,135
10/7/2021 07H,135
10/7/2021 06H,135
10/7/2021 05H,135
10/7/2021 04H,135
10/7/2021 03H,135
10/7/2021 02H,135
10/7/2021 01H,190
10/7/2021 00H,1977
10/6/2021 23H,4996
10/6/2021 22H,6060
10/6/2021 21H,6392
10/6/2021 20H,6561
10/6/2021 19H,6574
10/6/2021 18H,6746
10/6/2021 17H,6847
10/6/2021 16H,6795
10/6/2021 15H,5721
10/6/2021 14H,1999
10/6/2021 13H,34
10/6/2021 12H,0
10/6/2021 11H,0
10/6/2021 10H,0
10/6/2021 09H,0
10/6/2021 08H,0
10/6/2021 07H,0
10/6/2021 06H,0
10/6/2021 05H,0
10/6/2021 04H,0
10/6/2021 03H,0
10/6/2021 02H,0
10/6/2021 01H,74
10/6/2021 00H,2145
10/5/2021 23H,4951
10/5/2021 22H,5801
10/5/2021 21H,6118
10/5/2021 20H,6306
10/5/2021 19H,6594
10/5/2021 18H,6731
10/5/2021 17H,6854
10/5/2021 16H,6738
10/5/2021 15H,5833
10/5/2021 14H,2013
10/5/2021 13H,38
10/5/2021 12H,0
10/5/2021 11H,0
10/5/2021 10H,0
10/5/2021 09H,0
10/5/2021 08H,0
10/5/2021 07H,0
10/5/2021 06H,0
10/5/2021 05H,0
10/5/2021 04H,0
10/5/2021 03H,0
10/5/2021 02H,0
10/5/2021 01H,88
10/5/2021 00H,2206
10/4/2021 23H,5005
10/4/2021 22H,5786
10/4/2021 21H,6143
10/4/2021 20H,6230
10/4/2021 19H,6322
10/4/2021 18H,6307
10/4/2021 17H,6743
10/4/2021 16H,6655
10/4/2021 15H,5785
10/4/2021 14H,2117
10/4/2021 13H,37
10/4/2021 12H,0
10/4/2021 11H,0
10/4/2021 10H,0
10/4/2021 09H,0
10/4/2021 08H,0
10/4/2021 07H,0
10/4/2021 06H,0
10/4/2021 05H,0
10/4/2021 04H,0
10/4/2021 03H,0
10/4/2021 02H,0
10/4/2021 01H,97
10/4/2021 00H,2274
10/3/2021 23H,4662
10/3/2021 22H,5526
10/3/2021 21H,5706
10/3/2021 20H,5926
10/3/2021 19H,5942
10/3/2021 18H,6112
10/3/2021 17H,6112
10/3/2021 16H,5832
10/3/2021 15H,4657
10/3/2021 14H,1645
10/3/2021 13H,34
10/3/2021 12H,0
10/3/2021 11H,0
10/3/2021 10H,0
10/3/2021 09H,0
10/3/2021 08H,0
10/3/2021 07H,0
10/3/2021 06H,0
10/3/2021 05H,0
10/3/2021 04H,0
10/3/2021 03H,0
10/3/2021 02H,0
10/3/2021 01H,119
10/3/2021 00H,2554
10/2/2021 23H,5169
10/2/2021 22H,5857
10/2/2021 21H,5912
10/2/2021 20H,5814
10/2/2021 19H,5783
10/2/2021 18H,5718
10/2/2021 17H,4935
10/2/2021 16H,3907
10/2/2021 15H,3090
10/2/2021 14H,1040
10/2/2021 13H,13
10/2/2021 12H,0
10/2/2021 11H,0
10/2/2021 10H,0
10/2/2021 09H,0
10/2/2021 08H,0
10/2/2021 07H,0
10/2/2021 06H,0
10/2/2021 05H,0
10/2/2021 04H,0
10/2/2021 03H,0
10/2/2021 02H,0
10/2/2021 01H,54
10/2/2021 00H,990
10/1/2021 23H,1988
10/1/2021 22H,2052
10/1/2021 21H,2146
10/1/2021 20H,2628
10/1/2021 19H,3005
10/1/2021 18H,3447
10/1/2021 17H,3364
10/1/2021 16H,2411
10/1/2021 15H,1611
10/1/2021 14H,435
10/1/2021 13H,8
10/1/2021 12H,0
10/1/2021 11H,0
10/1/2021 10H,0
10/1/2021 09H,0
10/1/2021 08H,0
10/1/2021 07H,0
10/1/2021 06H,0
10/1/2021 05H,0
10/1/2021 04H,0
10/1/2021 03H,0
10/1/2021 02H,0
10/1/2021 01H,134
10/1/2021 00H,864
09/30/2021 23H,1536
09/30/2021 22H,2939
09/30/2021 21H,3811
09/30/2021 20H,4847
09/30/2021 19H,5240
09/30/2021 18H,5387
09/30/2021 17H,4442
09/30/2021 16H,3317
09/30/2021 15H,3007
09/30/2021 14H,1178
09/30/2021 13H,24
09/30/2021 12H,0
09/30/2021 11H,0
09/30/2021 10H,0
09/30/2021 09H,0
09/30/2021 08H,0
09/30/2021 07H,0
09/30/2021 06H,0
09/30/2021 05H,0
09/30/2021 04H,0
09/30/2021 03H,0
09/30/2021 02H,0
09/30/2021 01H,153
09/30/2021 00H,2693
09/29/2021 23H,5427
09/29/2021 22H,5924
09/29/2021 21H,6073
09/29/2021 20H,6120
09/29/2021 19H,6322
09/29/2021 18H,6379
09/29/2021 17H,6365
09/29/2021 16H,5929
09/29/2021 15H,4716
09/29/2021 14H,1734
09/29/2021 13H,20
09/29/2021 12H,0
09/29/2021 11H,0
09/29/2021 10H,0
09/29/2021 09H,0
09/29/2021 08H,0
09/29/2021 07H,0
09/29/2021 06H,0
09/29/2021 05H,0
09/29/2021 04H,0
09/29/2021 03H,0
09/29/2021 02H,0
09/29/2021 01H,165
09/29/2021 00H,2354
09/28/2021 23H,4511
09/28/2021 22H,5306
09/28/2021 21H,4858
09/28/2021 20H,4449
09/28/2021 19H,4442
09/28/2021 18H,4717
09/28/2021 17H,4678
09/28/2021 16H,5250
09/28/2021 15H,4339
09/28/2021 14H,1607
09/28/2021 13H,40
09/28/2021 12H,0
09/28/2021 11H,0
09/28/2021 10H,0
09/28/2021 09H,0
09/28/2021 08H,0
09/28/2021 07H,0
09/28/2021 06H,0
09/28/2021 05H,0
09/28/2021 04H,0
09/28/2021 03H,0
09/28/2021 02H,0
09/28/2021 01H,111
09/28/2021 00H,1970
09/27/2021 23H,4064
09/27/2021 22H,4524
09/27/2021 21H,5378
09/27/2021 20H,5740
09/27/2021 19H,5783
09/27/2021 18H,5548
09/27/2021 17H,5378
09/27/2021 16H,5190
09/27/2021 15H,3501
09/27/2021 14H,1079
09/27/2021 13H,53
09/27/2021 12H,0
09/27/2021 11H,0
09/27/2021 10H,0
09/27/2021 09H,0
09/27/2021 08H,0
09/27/2021 07H,0
09/27/2021 06H,0
09/27/2021 05H,0
09/27/2021 04H,0
09/27/2021 03H,0
09/27/2021 02H,0
09/27/2021 01H,217
09/27/2021 00H,3129
09/26/2021 23H,5859
09/26/2021 22H,6510
09/26/2021 21H,6729
09/26/2021 20H,6486
09/26/2021 19H,6676
09/26/2021 18H,6542
09/26/2021 17H,6577
09/26/2021 16H,5809
09/26/2021 15H,5286
09/26/2021 14H,2409
09/26/2021 13H,79
09/26/2021 12H,0
09/26/2021 11H,0
09/26/2021 10H,0
09/26/2021 09H,0
09/26/2021 08H,0
09/26/2021 07H,0
09/26/2021 06H,0
09/26/2021 05H,0
09/26/2021 04H,0
09/26/2021 03H,0
09/26/2021 02H,0
09/26/2021 01H,145
09/26/2021 00H,2239
09/25/2021 23H,5107
09/25/2021 22H,5962
09/25/2021 21H,6356
09/25/2021 20H,6617
09/25/2021 19H,6683
09/25/2021 18H,6599
09/25/2021 17H,6329
09/25/2021 16H,6177
09/25/2021 15H,5846
09/25/2021 14H,2579
09/25/2021 13H,83
09/25/2021 12H,0
09/25/2021 11H,0
09/25/2021 10H,0
09/25/2021 09H,0
09/25/2021 08H,0
09/25/2021 07H,0
09/25/2021 06H,0
09/25/2021 05H,0
09/25/2021 04H,0
09/25/2021 03H,0
09/25/2021 02H,0
09/25/2021 01H,254
09/25/2021 00H,2764
09/24/2021 23H,4781
09/24/2021 22H,5640
09/24/2021 21H,6102
09/24/2021 20H,6045
09/24/2021 19H,5914
09/24/2021 18H,5948
09/24/2021 17H,5263
09/24/2021 16H,4220
09/24/2021 15H,3784
09/24/2021 14H,2035
09/24/2021 13H,94
09/24/2021 12H,0
09/24/2021 11H,0
09/24/2021 10H,0
09/24/2021 09H,0
09/24/2021 08H,0
09/24/2021 07H,0
09/24/2021 06H,0
09/24/2021 05H,0
09/24/2021 04H,0
09/24/2021 03H,0
09/24/2021 02H,0
09/24/2021 01H,357
09/24/2021 00H,3382
09/23/2021 23H,5772
09/23/2021 22H,6086
09/23/2021 21H,6487
09/23/2021 20H,6598
09/23/2021 19H,6672
09/23/2021 18H,6708
09/23/2021 17H,6323
09/23/2021 16H,5545
09/23/2021 15H,6003
09/23/2021 14H,2558
09/23/2021 13H,115
09/23/2021 12H,0
09/23/2021 11H,0
09/23/2021 10H,0
09/23/2021 09H,0
09/23/2021 08H,0
09/23/2021 07H,0
09/23/2021 06H,0
09/23/2021 05H,0
09/23/2021 04H,0
09/23/2021 03H,0
09/23/2021 02H,1
09/23/2021 01H,286
09/23/2021 00H,3505
09/22/2021 23H,6379
09/22/2021 22H,6796
09/22/2021 21H,6895
09/22/2021 20H,6955
09/22/2021 19H,6877
09/22/2021 18H,6682
09/22/2021 17H,6659
09/22/2021 16H,6711
09/22/2021 15H,6298
09/22/2021 14H,2805
09/22/2021 13H,110
09/22/2021 12H,0
09/22/2021 11H,0
09/22/2021 10H,0
09/22/2021 09H,0
09/22/2021 08H,0
09/22/2021 07H,0
09/22/2021 06H,0
09/22/2021 05H,0
09/22/2021 04H,0
09/22/2021 03H,0
09/22/2021 02H,0
09/22/2021 01H,333
09/22/2021 00H,1548
09/21/2021 23H,2083
09/21/2021 22H,2167
09/21/2021 21H,2297
09/21/2021 20H,2135
09/21/2021 19H,2133
09/21/2021 18H,2097
09/21/2021 17H,2003
09/21/2021 16H,1664
09/21/2021 15H,1639
09/21/2021 14H,1032
09/21/2021 13H,47
09/21/2021 12H,0
09/21/2021 11H,0
09/21/2021 10H,0
09/21/2021 09H,0
09/21/2021 08H,0
09/21/2021 07H,0
09/21/2021 06H,0
09/21/2021 05H,0
09/21/2021 04H,0
09/21/2021 03H,0
09/21/2021 02H,0
09/21/2021 01H,249
09/21/2021 00H,2403
09/20/2021 23H,4559
09/20/2021 22H,5188
09/20/2021 21H,5483
09/20/2021 20H,5868
09/20/2021 19H,6082
09/20/2021 18H,6378
09/20/2021 17H,6341
09/20/2021 16H,5507
09/20/2021 15H,4453
09/20/2021 14H,2045
09/20/2021 13H,85
09/20/2021 12H,0
