datetime,wind_mwh
10/14/2021 05H,9610
10/14/2021 04H,9442
10/14/2021 03H,9840
10/14/2021 02H,10579
10/14/2021 01H,11222
10/14/2021 00H,11652
10/13/2021 23H,10534
10/13/2021 22H,10086
10/13/2021 21H,9603
10/13/2021 20H,10161
10/13/2021 19H,10023
10/13/2021 18H,9947
10/13/2021 17H,10116
10/13/2021 16H,10074
10/13/2021 15H,10966
10/13/2021 14H,12637
10/13/2021 13H,14463
10/13/2021 12H,17303
10/13/2021 11H,20376
10/13/2021 10H,21192
10/13/2021 09H,22050
10/13/2021 08H,21967
10/13/2021 07H,22051
10/13/2021 06H,22432
10/13/2021 05H,22612
10/13/2021 04H,23033
10/13/2021 03H,23338
10/13/2021 02H,23044
10/13/2021 01H,23028
10/13/2021 00H,22682
10/12/2021 23H,22133
10/12/2021 22H,21834
10/12/2021 21H,21628
10/12/2021 20H,20760
10/12/2021 19H,20333
10/12/2021 18H,20194
10/12/2021 17H,19935
10/12/2021 16H,19399
10/12/2021 15H,18952
10/12/2021 14H,19662
10/12/2021 13H,20562
10/12/2021 12H,20880
10/12/2021 11H,20844
10/12/2021 10H,20679
10/12/2021 09H,20560
10/12/2021 08H,20605
10/12/2021 07H,20507
10/12/2021 06H,20401
10/12/2021 05H,19995
10/12/2021 04H,19798
10/12/2021 03H,19461
10/12/2021 02H,17272
10/12/2021 01H,13421
10/12/2021 00H,11498
10/11/2021 23H,9895
10/11/2021 22H,8302
10/11/2021 21H,6945
10/11/2021 20H,5217
10/11/2021 19H,3415
10/11/2021 18H,2080
10/11/2021 17H,1326
10/11/2021 16H,813
10/11/2021 15H,1351
10/11/2021 14H,3228
10/11/2021 13H,4962
10/11/2021 12H,6620
10/11/2021 11H,8854
10/11/2021 10H,10946
10/11/2021 09H,12747
10/11/2021 08H,15676
10/11/2021 07H,17952
10/11/2021 06H,19974
10/11/2021 05H,21273
10/11/2021 04H,22208
10/11/2021 03H,22554
10/11/2021 02H,22674
10/11/2021 01H,22838
10/11/2021 00H,22428
10/10/2021 23H,21423
10/10/2021 22H,20578
10/10/2021 21H,20080
10/10/2021 20H,19441
10/10/2021 19H,18601
10/10/2021 18H,18730
10/10/2021 17H,19174
10/10/2021 16H,19640
10/10/2021 15H,19271
10/10/2021 14H,20563
10/10/2021 13H,21386
10/10/2021 12H,21206
10/10/2021 11H,21136
10/10/2021 10H,21268
10/10/2021 09H,21498
10/10/2021 08H,21731
10/10/2021 07H,21650
10/10/2021 06H,21773
10/10/2021 05H,21980
10/10/2021 04H,22109
10/10/2021 03H,22085
10/10/2021 02H,21773
10/10/2021 01H,20046
10/10/2021 00H,19253
10/9/2021 23H,18215
10/9/2021 22H,16921
10/9/2021 21H,16079
10/9/2021 20H,15362
10/9/2021 19H,14467
10/9/2021 18H,13717
10/9/2021 17H,13984
10/9/2021 16H,14763
10/9/2021 15H,15345
10/9/2021 14H,17631
10/9/2021 13H,18552
10/9/2021 12H,18576
10/9/2021 11H,18804
10/9/2021 10H,19186
10/9/2021 09H,19492
10/9/2021 08H,19893
10/9/2021 07H,20212
10/9/2021 06H,20581
10/9/2021 05H,20600
10/9/2021 04H,20813
10/9/2021 03H,20852
10/9/2021 02H,19753
10/9/2021 01H,16391
10/9/2021 00H,14820
10/8/2021 23H,14409
10/8/2021 22H,13384
10/8/2021 21H,12490
10/8/2021 20H,12187
10/8/2021 19H,11722
10/8/2021 18H,11489
10/8/2021 17H,12326
10/8/2021 16H,13523
10/8/2021 15H,13398
10/8/2021 14H,15737
10/8/2021 13H,17059
10/8/2021 12H,17525
10/8/2021 11H,17620
10/8/2021 10H,17768
10/8/2021 09H,18176
10/8/2021 08H,18746
10/8/2021 07H,19077
10/8/2021 06H,18884
10/8/2021 05H,18706
10/8/2021 04H,18700
10/8/2021 03H,18309
10/8/2021 02H,16945
10/8/2021 01H,13608
10/8/2021 00H,11659
10/7/2021 23H,10321
10/7/2021 22H,8437
10/7/2021 21H,7393
10/7/2021 20H,6654
10/7/2021 19H,5993
10/7/2021 18H,6022
10/7/2021 17H,6726
10/7/2021 16H,7065
10/7/2021 15H,7995
10/7/2021 14H,11723
10/7/2021 13H,12979
10/7/2021 12H,13638
10/7/2021 11H,14046
10/7/2021 10H,14534
10/7/2021 09H,15459
10/7/2021 08H,16045
10/7/2021 07H,16381
10/7/2021 06H,16873
10/7/2021 05H,17061
10/7/2021 04H,16095
10/7/2021 03H,13891
10/7/2021 02H,10782
10/7/2021 01H,6448
10/7/2021 00H,3377
10/6/2021 23H,1979
10/6/2021 22H,1421
10/6/2021 21H,1221
10/6/2021 20H,1436
10/6/2021 19H,2001
10/6/2021 18H,2976
10/6/2021 17H,4078
10/6/2021 16H,3613
10/6/2021 15H,3065
10/6/2021 14H,5150
10/6/2021 13H,6005
10/6/2021 12H,6709
10/6/2021 11H,7558
10/6/2021 10H,8297
10/6/2021 09H,8902
10/6/2021 08H,9910
10/6/2021 07H,10611
10/6/2021 06H,11179
10/6/2021 05H,11545
10/6/2021 04H,11072
10/6/2021 03H,10472
10/6/2021 02H,9294
10/6/2021 01H,6714
10/6/2021 00H,4380
10/5/2021 23H,2854
10/5/2021 22H,2409
10/5/2021 21H,2282
10/5/2021 20H,2093
10/5/2021 19H,2098
10/5/2021 18H,2359
10/5/2021 17H,2178
10/5/2021 16H,1584
10/5/2021 15H,1915
10/5/2021 14H,3556
10/5/2021 13H,4533
10/5/2021 12H,5790
10/5/2021 11H,6886
10/5/2021 10H,7694
10/5/2021 09H,7693
10/5/2021 08H,7942
10/5/2021 07H,8460
10/5/2021 06H,8820
10/5/2021 05H,8415
10/5/2021 04H,6901
10/5/2021 03H,5206
10/5/2021 02H,3510
10/5/2021 01H,2275
10/5/2021 00H,1731
10/4/2021 23H,1263
10/4/2021 22H,1449
10/4/2021 21H,1585
10/4/2021 20H,1150
10/4/2021 19H,911
10/4/2021 18H,894
10/4/2021 17H,1170
10/4/2021 16H,1037
10/4/2021 15H,1209
10/4/2021 14H,1936
10/4/2021 13H,2090
10/4/2021 12H,2331
10/4/2021 11H,2749
10/4/2021 10H,2925
10/4/2021 09H,2912
10/4/2021 08H,3036
10/4/2021 07H,2985
10/4/2021 06H,3134
10/4/2021 05H,2921
10/4/2021 04H,2407
10/4/2021 03H,2219
10/4/2021 02H,2233
10/4/2021 01H,2118
10/4/2021 00H,2382
10/3/2021 23H,2501
10/3/2021 22H,2530
10/3/2021 21H,1983
10/3/2021 20H,1720
10/3/2021 19H,1393
10/3/2021 18H,931
10/3/2021 17H,744
10/3/2021 16H,531
10/3/2021 15H,851
10/3/2021 14H,1580
10/3/2021 13H,1310
10/3/2021 12H,910
10/3/2021 11H,661
10/3/2021 10H,605
10/3/2021 09H,864
