datetime,coal_mwh,hydro_mwh,natural_gas_mwh,nuclear_mwh,other_sources_mwh,solar_mwh,wind_mwh,demand_mwh
2021-10-14 05:00:00,8175,24,22878,2518,96,0,9610,43472
2021-10-14 04:00:00,8663,54,25436,2518,144,0,9442,46430
2021-10-14 03:00:00,8693,55,28195,2517,88,0,9840,49494
2021-10-14 02:00:00,9244,36,29726,2517,110,0,10579,52095
2021-10-14 01:00:00,9060,27,31002,2516,132,24,11222,53958
2021-10-14 00:00:00,8489,57,30655,2516,201,1337,11652,54911
2021-10-13 23:00:00,9093,31,31849,2515,133,2341,10534,56608
2021-10-13 22:00:00,9837,32,33129,2516,178,1668,10086,57693
2021-10-13 21:00:00,9832,32,33389,2516,191,2239,9603,58076
2021-10-13 20:00:00,9617,41,32881,2516,159,2481,10161,58118
2021-10-13 19:00:00,9601,40,31484,2516,130,3047,10023,57080
2021-10-13 18:00:00,9647,32,29915,2517,110,3108,9947,55225
2021-10-13 17:00:00,9298,33,28082,2517,105,2752,10116,53108
2021-10-13 16:00:00,9233,48,26853,2517,99,2261,10074,51135
2021-10-13 15:00:00,8682,31,25070,2517,109,1660,10966,48931
2021-10-13 14:00:00,8383,35,23134,2517,109,503,12637,47166
2021-10-13 13:00:00,8069,26,21534,2517,93,9,14463,46661
2021-10-13 12:00:00,7352,25,18525,2517,134,0,17303,45664
2021-10-13 11:00:00,7019,25,13443,2517,118,0,20376,43466
2021-10-13 10:00:00,6980,24,11592,2517,85,0,21192,42346
2021-10-13 09:00:00,6997,24,10665,2517,83,0,22050,42292
2021-10-13 08:00:00,7309,25,10977,2517,93,0,21967,42845
2021-10-13 07:00:00,7565,49,11690,2517,92,0,22051,43993
2021-10-13 06:00:00,7995,22,12772,2516,108,0,22432,45716
2021-10-13 05:00:00,8222,6,14777,2517,158,0,22612,48117
2021-10-13 04:00:00,8955,6,16562,2516,155,0,23033,51141
2021-10-13 03:00:00,9530,6,18661,2515,149,0,23338,54001
2021-10-13 02:00:00,9451,6,20956,2515,148,0,23044,55780
2021-10-13 01:00:00,9427,9,21881,2515,138,14,23028,56825
2021-10-13 00:00:00,9293,30,22090,2515,142,417,22682,57034
2021-10-12 23:00:00,9062,42,23411,2515,140,1024,22133,58251
2021-10-12 22:00:00,9000,37,23823,2515,155,1339,21834,58749
2021-10-12 21:00:00,8632,32,23403,2515,194,1523,21628,58051
2021-10-12 20:00:00,7954,36,23431,2515,211,1789,20760,56692
2021-10-12 19:00:00,7550,43,22283,2515,150,2205,20333,55072
2021-10-12 18:00:00,7554,31,20147,2516,156,2285,20194,52877
2021-10-12 17:00:00,7826,48,18384,2516,164,2078,19935,50946
2021-10-12 16:00:00,7902,30,16992,2516,181,1864,19399,48810
2021-10-12 15:00:00,8693,72,14485,2834,136,1796,18952,47017
