,ds,y
2021-10-22 05:00:00,2021-10-22 00:00:00-05:00,11373
2021-10-22 04:00:00,2021-10-21 23:00:00-05:00,10636
2021-10-22 03:00:00,2021-10-21 22:00:00-05:00,9910
2021-10-22 02:00:00,2021-10-21 21:00:00-05:00,8850
2021-10-22 01:00:00,2021-10-21 20:00:00-05:00,6541
2021-10-22 00:00:00,2021-10-21 19:00:00-05:00,4560
2021-10-21 23:00:00,2021-10-21 18:00:00-05:00,3489
2021-10-21 22:00:00,2021-10-21 17:00:00-05:00,2928
2021-10-21 21:00:00,2021-10-21 16:00:00-05:00,2441
2021-10-21 20:00:00,2021-10-21 15:00:00-05:00,1876
2021-10-21 19:00:00,2021-10-21 14:00:00-05:00,1540
2021-10-21 18:00:00,2021-10-21 13:00:00-05:00,1650
2021-10-21 17:00:00,2021-10-21 12:00:00-05:00,1734
2021-10-21 16:00:00,2021-10-21 11:00:00-05:00,1933
2021-10-21 15:00:00,2021-10-21 10:00:00-05:00,2355
2021-10-21 14:00:00,2021-10-21 09:00:00-05:00,3581
2021-10-21 13:00:00,2021-10-21 08:00:00-05:00,3781
2021-10-21 12:00:00,2021-10-21 07:00:00-05:00,5081
2021-10-21 11:00:00,2021-10-21 06:00:00-05:00,6384
2021-10-21 10:00:00,2021-10-21 05:00:00-05:00,7173
2021-10-21 09:00:00,2021-10-21 04:00:00-05:00,7454
2021-10-21 08:00:00,2021-10-21 03:00:00-05:00,7705
2021-10-21 07:00:00,2021-10-21 02:00:00-05:00,8177
2021-10-21 06:00:00,2021-10-21 01:00:00-05:00,8580
2021-10-21 05:00:00,2021-10-21 00:00:00-05:00,9258
2021-10-21 04:00:00,2021-10-20 23:00:00-05:00,9337
2021-10-21 03:00:00,2021-10-20 22:00:00-05:00,8733
2021-10-21 02:00:00,2021-10-20 21:00:00-05:00,7330
2021-10-21 01:00:00,2021-10-20 20:00:00-05:00,4947
2021-10-21 00:00:00,2021-10-20 19:00:00-05:00,3107
2021-10-20 23:00:00,2021-10-20 18:00:00-05:00,2529
2021-10-20 22:00:00,2021-10-20 17:00:00-05:00,2143
2021-10-20 21:00:00,2021-10-20 16:00:00-05:00,1484
2021-10-20 20:00:00,2021-10-20 15:00:00-05:00,1202
2021-10-20 19:00:00,2021-10-20 14:00:00-05:00,1544
2021-10-20 18:00:00,2021-10-20 13:00:00-05:00,2504
2021-10-20 17:00:00,2021-10-20 12:00:00-05:00,3713
2021-10-20 16:00:00,2021-10-20 11:00:00-05:00,4868
2021-10-20 15:00:00,2021-10-20 10:00:00-05:00,6751
2021-10-20 14:00:00,2021-10-20 09:00:00-05:00,9859
2021-10-20 13:00:00,2021-10-20 08:00:00-05:00,11208
2021-10-20 12:00:00,2021-10-20 07:00:00-05:00,12508
2021-10-20 11:00:00,2021-10-20 06:00:00-05:00,13899
2021-10-20 10:00:00,2021-10-20 05:00:00-05:00,15423
2021-10-20 09:00:00,2021-10-20 04:00:00-05:00,16922
2021-10-20 08:00:00,2021-10-20 03:00:00-05:00,17843
2021-10-20 07:00:00,2021-10-20 02:00:00-05:00,18402
2021-10-20 06:00:00,2021-10-20 01:00:00-05:00,19358
2021-10-20 05:00:00,2021-10-20 00:00:00-05:00,20216
2021-10-20 04:00:00,2021-10-19 23:00:00-05:00,20746
2021-10-20 03:00:00,2021-10-19 22:00:00-05:00,20831
2021-10-20 02:00:00,2021-10-19 21:00:00-05:00,19926
2021-10-20 01:00:00,2021-10-19 20:00:00-05:00,18363
2021-10-20 00:00:00,2021-10-19 19:00:00-05:00,18143
2021-10-19 23:00:00,2021-10-19 18:00:00-05:00,17935
2021-10-19 22:00:00,2021-10-19 17:00:00-05:00,17027
2021-10-19 21:00:00,2021-10-19 16:00:00-05:00,15921
2021-10-19 20:00:00,2021-10-19 15:00:00-05:00,14942
2021-10-19 19:00:00,2021-10-19 14:00:00-05:00,14293
2021-10-19 18:00:00,2021-10-19 13:00:00-05:00,14357
2021-10-19 17:00:00,2021-10-19 12:00:00-05:00,15159
2021-10-19 16:00:00,2021-10-19 11:00:00-05:00,14953
2021-10-19 15:00:00,2021-10-19 10:00:00-05:00,14539
2021-10-19 14:00:00,2021-10-19 09:00:00-05:00,17202
2021-10-19 13:00:00,2021-10-19 08:00:00-05:00,18356
2021-10-19 12:00:00,2021-10-19 07:00:00-05:00,18052
2021-10-19 11:00:00,2021-10-19 06:00:00-05:00,18009
2021-10-19 10:00:00,2021-10-19 05:00:00-05:00,18268
2021-10-19 09:00:00,2021-10-19 04:00:00-05:00,18666
